userid,timestamp,tweet_text,username,all_hashtags,followers_count,following_count,allnumberoftweetscount,retweets,likes
839757865833242625,2020-11-21 23:48:19,"b'Pantera Raises $134M for Its Bitcoin Fund https://t.co/1xBVNSkBGT #Crypto #CryptoFollower #share2steem #blockchain #Bitcoin #Ethereum #ETH #BTC #CoinDesk Formed in 2013, Pantera\xe2\x80\x99s bitcoin fund was the first U.S.-based bitcoin fund.'",b'CryptoLionLife',"['Crypto', 'CryptoFollower', 'share2steem', 'blockchain', 'Bitcoin', 'Ethereum', 'ETH', 'BTC', 'CoinDesk']",205,434,8487,0,1
972803523866955777,2020-11-21 23:48:19,b'\xf0\x9f\x9a\x80 XRP Lift Off .43c \xf0\x9f\x94\xa5 #ALTSEASON #XRP https://t.co/SB9DWv93eO via @YouTube @XRPBags #remoteviewing #bitcoin #Ethereum #cryptocurrency #cryptoviewing #blockchain #DeFi #XRP #Ripple #Litecoin #Tezos #Chainlink',b'CryptoViewing',"['ALTSEASON', 'XRP', 'remoteviewing', 'bitcoin', 'Ethereum', 'cryptocurrency', 'cryptoviewing', 'blockchain', 'DeFi', 'XRP', 'Ripple', 'Litecoin', 'Tezos', 'Chainlink']",1796,248,2628,0,1
2837050700,2020-11-21 23:48:03,b'#Caturday Night Fever #cats #CatsOfTwitter  #StonerFam  #digitalart  #AI https://t.co/VmbcgL7zCl',b'missyvapes',"['Caturday', 'cats', 'CatsOfTwitter', 'StonerFam', 'digitalart', 'AI']",3352,2681,14360,2,12
1328014877303185413,2020-11-21 23:47:57,b'HEX BIG PAYDAY RESULTS | https://t.co/eSUHipF3w4 |   #Metamask #Bitcoin #defi #Crypto #ethereum #blockchain #decentralized #finance #Uniswap #HEX https://t.co/w34wr85HYi',b'allthingsdefi',"['Metamask', 'Bitcoin', 'defi', 'Crypto', 'ethereum', 'blockchain', 'decentralized', 'finance', 'Uniswap', 'HEX']",4,10,22,0,0
14615421,2020-11-21 23:47:48,b'Azure CLI: Manage Azure #IoT Hub Device Provisioning Service (DPS)  #azkungfu #DevOps #DPS #CloudFamily https://t.co/FVnpUtzf7j',b'crpietschmann',"['IoT', 'azkungfu', 'DevOps', 'DPS', 'CloudFamily']",6371,2340,32264,0,1
1179181787114811392,2020-11-21 23:47:44,"b'@ThunderProtocol On 2020/11/12, there is over 60,000,000 TT traded on #TTSwap, the trading volume is about 500k USD, and the staking return APR is over 400% (over 1% return on that day)!RocketRocketRocket #Crypto #Blockchain #ThunderCore   https://t.co/fRZz5B6kzf https://t.co/P7Scq26UTS'",b'leonard99164924',"['TTSwap', 'Crypto', 'Blockchain', 'ThunderCore']",8,23,13,3,2
1265097730642321414,2020-11-21 23:47:33,"b'$SXP / USDT Volume increase detected!  Spike: 1,003,356.63 USDT 24h Vol: 32,465,519.81 USDT  Get ALL the alerts here: https://t.co/2NPcHHX7r0  #crypto #bitcoin #binance #altcoins #hodl #defi #trading #freedom #blockchain $btc $xrpup $zen $xrp $eosup $tct $trxup $xtzup $bts $near https://t.co/NjnJA2ozjf'",b'VolumeMonitor',"['crypto', 'bitcoin', 'binance', 'altcoins', 'hodl', 'defi', 'trading', 'freedom', 'blockchain']",6346,21,6785,1,4
729754661213884416,2020-11-21 23:47:19,"b'New article: ""America Airlines  - Pet Logistics Market Competitive landscape, Growth Strategies for Business Development, Analysis and Forecast, ..."" has been published on Fintech Zoom - https://t.co/KSNHNzKjdY @FintechZoom #Fintech #Blockchain #Crypto #Cryptocurrency #ICO https://t.co/7vIvtTwUnM'",b'FinTechZoom',"['Fintech', 'Blockchain', 'Crypto', 'Cryptocurrency', 'ICO']",4580,360,101229,1,1
729754661213884416,2020-11-21 23:46:58,"b'New article: ""America Airlines  - Livestock Transportation Market to Develop New Growth Story"" has been published on Fintech Zoom - https://t.co/cxWamWfym0 @FintechZoom #Fintech #Blockchain #Crypto #Cryptocurrency #ICO https://t.co/DiSHQ0B1o9'",b'FinTechZoom',"['Fintech', 'Blockchain', 'Crypto', 'Cryptocurrency', 'ICO']",4580,360,101229,0,0
1139531075703590917,2020-11-21 23:46:49,"b'Effectiveness Paradigm for Data, Analytics, and Technology  https://t.co/MLgIgTyTnr  #data #dataviz #databreach #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #CloudComputing #Serverless #Linux #Coding #100DaysofCode #100DaysOfMLCode #udemycoupon https://t.co/SC3dXRMUBT'",b'BlackfreeNiken',"['data', 'dataviz', 'databreach', 'Analytics', 'DataScience', 'AI', 'MachineLearning', 'IoT', 'IIoT', 'Python', 'RStats', 'CloudComputing', 'Serverless', 'Linux', 'Coding', '100DaysofCode', '100DaysOfMLCode', 'udemycoupon']",233,164,1416,23,15
1042654219357118464,2020-11-21 23:46:28,"b'#hiring hot new #blockchain job from today: Associate Marketing Manager at Chainalysis (London, UK) Apply: https://t.co/srsAKo6e2f'",b'crypto_careers',"['hiring', 'blockchain']",519,433,5415,0,0
43825092,2020-11-21 23:46:28,"b'\xe2\x80\x9c#Xrp di bankers coin,  but the price a guh up so mi hold on to mine\xe2\x80\x9d  I said it in a song \xf0\x9f\x98\x82, cheers to who listened.   \xf0\x9f\x91\x89\xf0\x9f\x8f\xbehttps://t.co/pRr4QFftdd  #newmusic #crypto #blockchain #hive #reggae #dancehall #btc\xc2\xa0 #eth'",b'depaiso',"['Xrp', 'newmusic', 'crypto', 'blockchain', 'hive', 'reggae', 'dancehall', 'btc', 'eth']",977,1475,8693,0,1
358253618,2020-11-21 23:46:01,b'Low Power Wide Area Networks (#LPWANs) are essential to creating value-driven IoT systems. Learn about the current LPWAN landscape and why the matter to the future of IoT.  Check out this new article @Akenza_IoT https://t.co/SpalGRbCAF  #engineering #engineer #tech #iot',b'WevolverApp',"['LPWANs', 'engineering', 'engineer', 'tech', 'iot']",15566,2651,21216,1,3
54317231,2020-11-21 23:45:02,b'The benefits #RPA can offer small businesses. \xc2\xbb https://t.co/Vi6gHzQzHX    #Robotics #Automation #IoT #Futureofwork #Digital #Tech',b'arjenvanberkum',"['RPA', 'Robotics', 'Automation', 'IoT', 'Futureofwork', 'Digital', 'Tech']",35873,25902,62583,0,0
1303713480,2020-11-21 23:44:49,b'Post Detail #Blockchain via https://t.co/3NKgw00W6J https://t.co/VlTZGg6m3h',b'SureshRukman',['Blockchain'],2050,2218,34521,0,0
234470296,2020-11-21 23:44:25,b'Huge news! Awesome work and real world use case of #DigiByte #blockchain tech! https://t.co/ms0jlynOao',b'jaredctate',"['DigiByte', 'blockchain']",29225,447,6529,122,475
